Rainfall - (MM), Year, Statistics, Country, ISO3
38.1416, 1991, Jan Average, Germany, DEU
22.2173, 1991, Feb Average, Germany, DEU
32.1018, 1991, Mar Average, Germany, DEU
34.8284, 1991, Apr Average, Germany, DEU
46.0585, 1991, May Average, Germany, DEU
108.872, 1991, Jun Average, Germany, DEU
59.4205, 1991, Jul Average, Germany, DEU
44.9099, 1991, Aug Average, Germany, DEU
48.2831, 1991, Sep Average, Germany, DEU
31.2902, 1991, Oct Average, Germany, DEU
67.2381, 1991, Nov Average, Germany, DEU
64.6026, 1991, Dec Average, Germany, DEU
32.2092, 1992, Jan Average, Germany, DEU
36.8473, 1992, Feb Average, Germany, DEU
85.5424, 1992, Mar Average, Germany, DEU
52.0117, 1992, Apr Average, Germany, DEU
30.2306, 1992, May Average, Germany, DEU
65.6948, 1992, Jun Average, Germany, DEU
83.3103, 1992, Jul Average, Germany, DEU
83.8254, 1992, Aug Average, Germany, DEU
37.6051, 1992, Sep Average, Germany, DEU
70.2294, 1992, Oct Average, Germany, DEU
93.8341, 1992, Nov Average, Germany, DEU
49.7352, 1992, Dec Average, Germany, DEU
70.3263, 1993, Jan Average, Germany, DEU
26.2897, 1993, Feb Average, Germany, DEU
18.6981, 1993, Mar Average, Germany, DEU
34.6836, 1993, Apr Average, Germany, DEU
65.559, 1993, May Average, Germany, DEU
74.8822, 1993, Jun Average, Germany, DEU
126.702, 1993, Jul Average, Germany, DEU
58.7267, 1993, Aug Average, Germany, DEU
85.6792, 1993, Sep Average, Germany, DEU
66.1158, 1993, Oct Average, Germany, DEU
31.3008, 1993, Nov Average, Germany, DEU
116.947, 1993, Dec Average, Germany, DEU
73.5569, 1994, Jan Average, Germany, DEU
26.9864, 1994, Feb Average, Germany, DEU
81.7327, 1994, Mar Average, Germany, DEU
74.6639, 1994, Apr Average, Germany, DEU
70.7648, 1994, May Average, Germany, DEU
62.5994, 1994, Jun Average, Germany, DEU
56.0613, 1994, Jul Average, Germany, DEU
90.7327, 1994, Aug Average, Germany, DEU
79.9797, 1994, Sep Average, Germany, DEU
46.7144, 1994, Oct Average, Germany, DEU
47.5845, 1994, Nov Average, Germany, DEU
70.5123, 1994, Dec Average, Germany, DEU
88.7005, 1995, Jan Average, Germany, DEU
62.5133, 1995, Feb Average, Germany, DEU
69.4388, 1995, Mar Average, Germany, DEU
50.5393, 1995, Apr Average, Germany, DEU
73.8844, 1995, May Average, Germany, DEU
85.2628, 1995, Jun Average, Germany, DEU
68.6331, 1995, Jul Average, Germany, DEU
75.0851, 1995, Aug Average, Germany, DEU
80.4944, 1995, Sep Average, Germany, DEU
21.1482, 1995, Oct Average, Germany, DEU
48.357, 1995, Nov Average, Germany, DEU
41.691, 1995, Dec Average, Germany, DEU
5.35384, 1996, Jan Average, Germany, DEU
38.3418, 1996, Feb Average, Germany, DEU
21.3051, 1996, Mar Average, Germany, DEU
21.8187, 1996, Apr Average, Germany, DEU
