Rainfall - (MM), Year, Statistics, Country, ISO3
108.782, 1991, Jan Average, Ireland, IRL
91.2759, 1991, Feb Average, Ireland, IRL
105.699, 1991, Mar Average, Ireland, IRL
127.777, 1991, Apr Average, Ireland, IRL
9.29378, 1991, May Average, Ireland, IRL
92.2947, 1991, Jun Average, Ireland, IRL
70.4617, 1991, Jul Average, Ireland, IRL
39.9648, 1991, Aug Average, Ireland, IRL
79.6577, 1991, Sep Average, Ireland, IRL
125.176, 1991, Oct Average, Ireland, IRL
138.332, 1991, Nov Average, Ireland, IRL
70.167, 1991, Dec Average, Ireland, IRL
77.2519, 1992, Jan Average, Ireland, IRL
81.3275, 1992, Feb Average, Ireland, IRL
118.743, 1992, Mar Average, Ireland, IRL
106.457, 1992, Apr Average, Ireland, IRL
57.183, 1992, May Average, Ireland, IRL
35.6065, 1992, Jun Average, Ireland, IRL
100.878, 1992, Jul Average, Ireland, IRL
145.426, 1992, Aug Average, Ireland, IRL
104.707, 1992, Sep Average, Ireland, IRL
66.1333, 1992, Oct Average, Ireland, IRL
139.76, 1992, Nov Average, Ireland, IRL
94.0505, 1992, Dec Average, Ireland, IRL
143.413, 1993, Jan Average, Ireland, IRL
29.4973, 1993, Feb Average, Ireland, IRL
63.2764, 1993, Mar Average, Ireland, IRL
109.208, 1993, Apr Average, Ireland, IRL
132.312, 1993, May Average, Ireland, IRL
95.8215, 1993, Jun Average, Ireland, IRL
87.2793, 1993, Jul Average, Ireland, IRL
47.3194, 1993, Aug Average, Ireland, IRL
134.322, 1993, Sep Average, Ireland, IRL
59.7301, 1993, Oct Average, Ireland, IRL
87.9199, 1993, Nov Average, Ireland, IRL
208.845, 1993, Dec Average, Ireland, IRL
153.037, 1994, Jan Average, Ireland, IRL
149.335, 1994, Feb Average, Ireland, IRL
128.177, 1994, Mar Average, Ireland, IRL
109.988, 1994, Apr Average, Ireland, IRL
69.42, 1994, May Average, Ireland, IRL
59.3005, 1994, Jun Average, Ireland, IRL
88.0882, 1994, Jul Average, Ireland, IRL
84.7735, 1994, Aug Average, Ireland, IRL
93.8243, 1994, Sep Average, Ireland, IRL
70.7646, 1994, Oct Average, Ireland, IRL
101.789, 1994, Nov Average, Ireland, IRL
176.646, 1994, Dec Average, Ireland, IRL
185.123, 1995, Jan Average, Ireland, IRL
150.922, 1995, Feb Average, Ireland, IRL
100.647, 1995, Mar Average, Ireland, IRL
34.4481, 1995, Apr Average, Ireland, IRL
68.6649, 1995, May Average, Ireland, IRL
29.2108, 1995, Jun Average, Ireland, IRL
93.0187, 1995, Jul Average, Ireland, IRL
13.8647, 1995, Aug Average, Ireland, IRL
72.0119, 1995, Sep Average, Ireland, IRL
164.675, 1995, Oct Average, Ireland, IRL
145.106, 1995, Nov Average, Ireland, IRL
83.7914, 1995, Dec Average, Ireland, IRL
130.389, 1996, Jan Average, Ireland, IRL
116.81, 1996, Feb Average, Ireland, IRL
103.61, 1996, Mar Average, Ireland, IRL
92.5019, 1996, Apr Average, Ireland, IRL
75.124, 1996, May Average, Ireland, IRL
34.3929, 1996, Jun Average, Ireland, IRL
63.3688, 1996, Jul Average, Ireland, IRL
106.775, 1996, Aug Average, Ireland, IRL
40.529, 1996, Sep Average, Ireland, IRL
173.861, 1996, Oct Average, Ireland, IRL
133.655, 1996, Nov Average, Ireland, IRL
56.0519, 1996, Dec Average, Ireland, IRL
34.1484, 1997, Jan Average, Ireland, IRL
156.321, 1997, Feb Average, Ireland, IRL
38.3615, 1997, Mar Average, Ireland, IRL
47.5562, 1997, Apr Average, Ireland, IRL
91.1435, 1997, May Average, Ireland, IRL
112.021, 1997, Jun Average, Ireland, IRL
77.9432, 1997, Jul Average, Ireland, IRL
140.007, 1997, Aug Average, Ireland, IRL
60.3517, 1997, Sep Average, Ireland, IRL
109.199, 1997, Oct Average, Ireland, IRL
141.364, 1997, Nov Average, Ireland, IRL
133.181, 1997, Dec Average, Ireland, IRL
152.345, 1998, Jan Average, Ireland, IRL
42.7574, 1998, Feb Average, Ireland, IRL
105.476, 1998, Mar Average, Ireland, IRL
119.85, 1998, Apr Average, Ireland, IRL
37.3937, 1998, May Average, Ireland, IRL
134.345, 1998, Jun Average, Ireland, IRL
89.4129, 1998, Jul Average, Ireland, IRL
78.1966, 1998, Aug Average, Ireland, IRL
102.827, 1998, Sep Average, Ireland, IRL
159.655, 1998, Oct Average, Ireland, IRL
135.885, 1998, Nov Average, Ireland, IRL
137.169, 1998, Dec Average, Ireland, IRL
152.811, 1999, Jan Average, Ireland, IRL
66.55, 1999, Feb Average, Ireland, IRL
71.1969, 1999, Mar Average, Ireland, IRL
88.4722, 1999, Apr Average, Ireland, IRL
71.3606, 1999, May Average, Ireland, IRL
63.572, 1999, Jun Average, Ireland, IRL
46.6109, 1999, Jul Average, Ireland, IRL
103.95, 1999, Aug Average, Ireland, IRL
193.787, 1999, Sep Average, Ireland, IRL
64.8194, 1999, Oct Average, Ireland, IRL
115.99, 1999, Nov Average, Ireland, IRL
210.329, 1999, Dec Average, Ireland, IRL
75.0015, 2000, Jan Average, Ireland, IRL
126.404, 2000, Feb Average, Ireland, IRL
37.5453, 2000, Mar Average, Ireland, IRL
77.4594, 2000, Apr Average, Ireland, IRL
74.3804, 2000, May Average, Ireland, IRL
56.5635, 2000, Jun Average, Ireland, IRL
63.497, 2000, Jul Average, Ireland, IRL
85.972, 2000, Aug Average, Ireland, IRL
141.097, 2000, Sep Average, Ireland, IRL
182.289, 2000, Oct Average, Ireland, IRL
185.958, 2000, Nov Average, Ireland, IRL
154.727, 2000, Dec Average, Ireland, IRL
67.2212, 2001, Jan Average, Ireland, IRL
82.0295, 2001, Feb Average, Ireland, IRL
85.0509, 2001, Mar Average, Ireland, IRL
89.4895, 2001, Apr Average, Ireland, IRL
43.6618, 2001, May Average, Ireland, IRL
62.3421, 2001, Jun Average, Ireland, IRL
79.5624, 2001, Jul Average, Ireland, IRL
106.744, 2001, Aug Average, Ireland, IRL
66.5055, 2001, Sep Average, Ireland, IRL
129.079, 2001, Oct Average, Ireland, IRL
72.1968, 2001, Nov Average, Ireland, IRL
62.9413, 2001, Dec Average, Ireland, IRL
138.25, 2002, Jan Average, Ireland, IRL
187.674, 2002, Feb Average, Ireland, IRL
60.2419, 2002, Mar Average, Ireland, IRL
97.637, 2002, Apr Average, Ireland, IRL
137.018, 2002, May Average, Ireland, IRL
100.626, 2002, Jun Average, Ireland, IRL
77.1434, 2002, Jul Average, Ireland, IRL
60.2855, 2002, Aug Average, Ireland, IRL
35.215, 2002, Sep Average, Ireland, IRL
206.256, 2002, Oct Average, Ireland, IRL
205.848, 2002, Nov Average, Ireland, IRL
113.887, 2002, Dec Average, Ireland, IRL
83.5495, 2003, Jan Average, Ireland, IRL
61.2407, 2003, Feb Average, Ireland, IRL
59.8783, 2003, Mar Average, Ireland, IRL
69.4425, 2003, Apr Average, Ireland, IRL
129.563, 2003, May Average, Ireland, IRL
92.4397, 2003, Jun Average, Ireland, IRL
86.1032, 2003, Jul Average, Ireland, IRL
17.2752, 2003, Aug Average, Ireland, IRL
68.6853, 2003, Sep Average, Ireland, IRL
78.1066, 2003, Oct Average, Ireland, IRL
128.217, 2003, Nov Average, Ireland, IRL
105.927, 2003, Dec Average, Ireland, IRL
137.506, 2004, Jan Average, Ireland, IRL
50.1555, 2004, Feb Average, Ireland, IRL
84.7279, 2004, Mar Average, Ireland, IRL
66.0755, 2004, Apr Average, Ireland, IRL
46.6289, 2004, May Average, Ireland, IRL
75.0483, 2004, Jun Average, Ireland, IRL
66.9845, 2004, Jul Average, Ireland, IRL
113.75, 2004, Aug Average, Ireland, IRL
110.459, 2004, Sep Average, Ireland, IRL
177.288, 2004, Oct Average, Ireland, IRL
66.9032, 2004, Nov Average, Ireland, IRL
99.9428, 2004, Dec Average, Ireland, IRL
134.379, 2005, Jan Average, Ireland, IRL
57.8414, 2005, Feb Average, Ireland, IRL
57.9895, 2005, Mar Average, Ireland, IRL
103.585, 2005, Apr Average, Ireland, IRL
98.417, 2005, May Average, Ireland, IRL
57.0964, 2005, Jun Average, Ireland, IRL
76.9858, 2005, Jul Average, Ireland, IRL
62.8049, 2005, Aug Average, Ireland, IRL
97.1228, 2005, Sep Average, Ireland, IRL
142.538, 2005, Oct Average, Ireland, IRL
93.3789, 2005, Nov Average, Ireland, IRL
99.9429, 2005, Dec Average, Ireland, IRL
60.9309, 2006, Jan Average, Ireland, IRL
57.4686, 2006, Feb Average, Ireland, IRL
118.204, 2006, Mar Average, Ireland, IRL
52.549, 2006, Apr Average, Ireland, IRL
142.176, 2006, May Average, Ireland, IRL
29.1719, 2006, Jun Average, Ireland, IRL
53.5247, 2006, Jul Average, Ireland, IRL
62.2778, 2006, Aug Average, Ireland, IRL
156.299, 2006, Sep Average, Ireland, IRL
134.05, 2006, Oct Average, Ireland, IRL
144.082, 2006, Nov Average, Ireland, IRL
183.303, 2006, Dec Average, Ireland, IRL
118.036, 2007, Jan Average, Ireland, IRL
102.422, 2007, Feb Average, Ireland, IRL
77.679, 2007, Mar Average, Ireland, IRL
27.9144, 2007, Apr Average, Ireland, IRL
72.6867, 2007, May Average, Ireland, IRL
120.211, 2007, Jun Average, Ireland, IRL
120.51, 2007, Jul Average, Ireland, IRL
100.82, 2007, Aug Average, Ireland, IRL
59.2381, 2007, Sep Average, Ireland, IRL
57.1707, 2007, Oct Average, Ireland, IRL
84.8037, 2007, Nov Average, Ireland, IRL
135.921, 2007, Dec Average, Ireland, IRL
190.542, 2008, Jan Average, Ireland, IRL
65.802, 2008, Feb Average, Ireland, IRL
129.982, 2008, Mar Average, Ireland, IRL
51.9001, 2008, Apr Average, Ireland, IRL
47.2511, 2008, May Average, Ireland, IRL
93.1861, 2008, Jun Average, Ireland, IRL
112.919, 2008, Jul Average, Ireland, IRL
177.429, 2008, Aug Average, Ireland, IRL
123.335, 2008, Sep Average, Ireland, IRL
161.155, 2008, Oct Average, Ireland, IRL
96.4005, 2008, Nov Average, Ireland, IRL
80.6474, 2008, Dec Average, Ireland, IRL
138.874, 2009, Jan Average, Ireland, IRL
45.4448, 2009, Feb Average, Ireland, IRL
59.9667, 2009, Mar Average, Ireland, IRL
113.346, 2009, Apr Average, Ireland, IRL
96.1566, 2009, May Average, Ireland, IRL
70.0574, 2009, Jun Average, Ireland, IRL
136.803, 2009, Jul Average, Ireland, IRL
147.041, 2009, Aug Average, Ireland, IRL
55.6592, 2009, Sep Average, Ireland, IRL
120.437, 2009, Oct Average, Ireland, IRL
252.864, 2009, Nov Average, Ireland, IRL
119.97, 2009, Dec Average, Ireland, IRL
85.0319, 2010, Jan Average, Ireland, IRL
60.4403, 2010, Feb Average, Ireland, IRL
88.9933, 2010, Mar Average, Ireland, IRL
55.891, 2010, Apr Average, Ireland, IRL
56.9828, 2010, May Average, Ireland, IRL
47.1268, 2010, Jun Average, Ireland, IRL
137.461, 2010, Jul Average, Ireland, IRL
47.6083, 2010, Aug Average, Ireland, IRL
146.101, 2010, Sep Average, Ireland, IRL
80.4398, 2010, Oct Average, Ireland, IRL
152.239, 2010, Nov Average, Ireland, IRL
69.808, 2010, Dec Average, Ireland, IRL
71.5025, 2011, Jan Average, Ireland, IRL
140.098, 2011, Feb Average, Ireland, IRL
42.5024, 2011, Mar Average, Ireland, IRL
52.5578, 2011, Apr Average, Ireland, IRL
103.405, 2011, May Average, Ireland, IRL
86.8944, 2011, Jun Average, Ireland, IRL
57.2213, 2011, Jul Average, Ireland, IRL
61.4169, 2011, Aug Average, Ireland, IRL
128.258, 2011, Sep Average, Ireland, IRL
160.246, 2011, Oct Average, Ireland, IRL
131.514, 2011, Nov Average, Ireland, IRL
129.417, 2011, Dec Average, Ireland, IRL
111.946, 2012, Jan Average, Ireland, IRL
52.2305, 2012, Feb Average, Ireland, IRL
32.2184, 2012, Mar Average, Ireland, IRL
90.0402, 2012, Apr Average, Ireland, IRL
65.3093, 2012, May Average, Ireland, IRL
161.728, 2012, Jun Average, Ireland, IRL
116.58, 2012, Jul Average, Ireland, IRL
118.609, 2012, Aug Average, Ireland, IRL
79.6172, 2012, Sep Average, Ireland, IRL
107.525, 2012, Oct Average, Ireland, IRL
126.688, 2012, Nov Average, Ireland, IRL
128.228, 2012, Dec Average, Ireland, IRL
120.992, 2013, Jan Average, Ireland, IRL
65.2951, 2013, Feb Average, Ireland, IRL
98.5242, 2013, Mar Average, Ireland, IRL
91.6517, 2013, Apr Average, Ireland, IRL
87.6263, 2013, May Average, Ireland, IRL
71.1074, 2013, Jun Average, Ireland, IRL
71.3308, 2013, Jul Average, Ireland, IRL
73.9042, 2013, Aug Average, Ireland, IRL
56.3051, 2013, Sep Average, Ireland, IRL
150.529, 2013, Oct Average, Ireland, IRL
74.9605, 2013, Nov Average, Ireland, IRL
126.106, 2013, Dec Average, Ireland, IRL
192.862, 2014, Jan Average, Ireland, IRL
199.803, 2014, Feb Average, Ireland, IRL
96.4123, 2014, Mar Average, Ireland, IRL
59.3474, 2014, Apr Average, Ireland, IRL
107.853, 2014, May Average, Ireland, IRL
52.0595, 2014, Jun Average, Ireland, IRL
50.9058, 2014, Jul Average, Ireland, IRL
117.487, 2014, Aug Average, Ireland, IRL
28.3795, 2014, Sep Average, Ireland, IRL
150.002, 2014, Oct Average, Ireland, IRL
169.668, 2014, Nov Average, Ireland, IRL
111.88, 2014, Dec Average, Ireland, IRL
99.0503, 2015, Jan Average, Ireland, IRL
73.7529, 2015, Feb Average, Ireland, IRL
97.1735, 2015, Mar Average, Ireland, IRL
55.9054, 2015, Apr Average, Ireland, IRL
131.222, 2015, May Average, Ireland, IRL
39.1028, 2015, Jun Average, Ireland, IRL
97.1706, 2015, Jul Average, Ireland, IRL
86.4158, 2015, Aug Average, Ireland, IRL
82.7539, 2015, Sep Average, Ireland, IRL
69.4051, 2015, Oct Average, Ireland, IRL
182.331, 2015, Nov Average, Ireland, IRL
282.793, 2015, Dec Average, Ireland, IRL
174.654, 2016, Jan Average, Ireland, IRL
136.641, 2016, Feb Average, Ireland, IRL
74.6558, 2016, Mar Average, Ireland, IRL
79.7985, 2016, Apr Average, Ireland, IRL
69.9331, 2016, May Average, Ireland, IRL
89.9273, 2016, Jun Average, Ireland, IRL
74.9017, 2016, Jul Average, Ireland, IRL
77.1963, 2016, Aug Average, Ireland, IRL
122.041, 2016, Sep Average, Ireland, IRL
63.7291, 2016, Oct Average, Ireland, IRL
72.6265, 2016, Nov Average, Ireland, IRL
