Temperature - (Celsius), Year, Statistics, Country, ISO3
3.88835, 1991, Jan Average, Ireland, IRL
3.40125, 1991, Feb Average, Ireland, IRL
7.41071, 1991, Mar Average, Ireland, IRL
7.82138, 1991, Apr Average, Ireland, IRL
10.9145, 1991, May Average, Ireland, IRL
11.8027, 1991, Jun Average, Ireland, IRL
15.5926, 1991, Jul Average, Ireland, IRL
15.4398, 1991, Aug Average, Ireland, IRL
13.7431, 1991, Sep Average, Ireland, IRL
9.23235, 1991, Oct Average, Ireland, IRL
6.58217, 1991, Nov Average, Ireland, IRL
6.37421, 1991, Dec Average, Ireland, IRL
5.25798, 1992, Jan Average, Ireland, IRL
6.29051, 1992, Feb Average, Ireland, IRL
7.33933, 1992, Mar Average, Ireland, IRL
7.97665, 1992, Apr Average, Ireland, IRL
11.8396, 1992, May Average, Ireland, IRL
14.3009, 1992, Jun Average, Ireland, IRL
15.0111, 1992, Jul Average, Ireland, IRL
13.4087, 1992, Aug Average, Ireland, IRL
11.1697, 1992, Sep Average, Ireland, IRL
7.50975, 1992, Oct Average, Ireland, IRL
7.1633, 1992, Nov Average, Ireland, IRL
4.6021, 1992, Dec Average, Ireland, IRL
6.00429, 1993, Jan Average, Ireland, IRL
6.49864, 1993, Feb Average, Ireland, IRL
6.61465, 1993, Mar Average, Ireland, IRL
9.01022, 1993, Apr Average, Ireland, IRL
10.1468, 1993, May Average, Ireland, IRL
13.193, 1993, Jun Average, Ireland, IRL
14.0143, 1993, Jul Average, Ireland, IRL
13.4543, 1993, Aug Average, Ireland, IRL
11.7978, 1993, Sep Average, Ireland, IRL
7.56917, 1993, Oct Average, Ireland, IRL
6.09707, 1993, Nov Average, Ireland, IRL
5.42294, 1993, Dec Average, Ireland, IRL
5.20634, 1994, Jan Average, Ireland, IRL
4.46257, 1994, Feb Average, Ireland, IRL
6.95473, 1994, Mar Average, Ireland, IRL
7.29588, 1994, Apr Average, Ireland, IRL
9.81724, 1994, May Average, Ireland, IRL
12.3371, 1994, Jun Average, Ireland, IRL
14.6928, 1994, Jul Average, Ireland, IRL
13.8759, 1994, Aug Average, Ireland, IRL
11.6978, 1994, Sep Average, Ireland, IRL
10.052, 1994, Oct Average, Ireland, IRL
9.35606, 1994, Nov Average, Ireland, IRL
6.56147, 1994, Dec Average, Ireland, IRL
4.96684, 1995, Jan Average, Ireland, IRL
6.09826, 1995, Feb Average, Ireland, IRL
5.46008, 1995, Mar Average, Ireland, IRL
8.44373, 1995, Apr Average, Ireland, IRL
10.3428, 1995, May Average, Ireland, IRL
13.712, 1995, Jun Average, Ireland, IRL
