Temperature, Year, Month
5.3711, 1991, Jan Average
5.51411, 1991, Feb Average
9.54844, 1991, Mar Average
10.2288, 1991, Apr Average
14.0506, 1991, May Average
19.4024, 1991, Jun Average
23.2758, 1991, Jul Average
24.1959, 1991, Aug Average
20.5503, 1991, Sep Average
12.5813, 1991, Oct Average
8.96083, 1991, Nov Average
6.44105, 1991, Dec Average
4.26265, 1992, Jan Average
6.51471, 1992, Feb Average
9.50415, 1992, Mar Average
11.7148, 1992, Apr Average
16.4752, 1992, May Average
16.5824, 1992, Jun Average
22.7319, 1992, Jul Average
23.223, 1992, Aug Average
18.8345, 1992, Sep Average
12.4911, 1992, Oct Average
10.3471, 1992, Nov Average
7.19247, 1992, Dec Average
5.73659, 1993, Jan Average
6.34557, 1993, Feb Average
8.93736, 1993, Mar Average
10.7373, 1993, Apr Average
14.3336, 1993, May Average
19.3241, 1993, Jun Average
22.1832, 1993, Jul Average
22.6828, 1993, Aug Average
17.4683, 1993, Sep Average
11.804, 1993, Oct Average
8.20128, 1993, Nov Average
7.04586, 1993, Dec Average
5.84137, 1994, Jan Average
6.92937, 1994, Feb Average
11.0051, 1994, Mar Average
10.5511, 1994, Apr Average
15.2146, 1994, May Average
19.863, 1994, Jun Average
23.7982, 1994, Jul Average
23.413, 1994, Aug Average
17.6203, 1994, Sep Average
14.6232, 1994, Oct Average
11.0459, 1994, Nov Average
7.4757, 1994, Dec Average
6.54656, 1995, Jan Average
8.42585, 1995, Feb Average
9.63153, 1995, Mar Average
12.2162, 1995, Apr Average
16.3491, 1995, May Average
19.3239, 1995, Jun Average
23.4475, 1995, Jul Average
23.0999, 1995, Aug Average
17.2776, 1995, Sep Average
16.2855, 1995, Oct Average
10.9913, 1995, Nov Average
7.87875, 1995, Dec Average
7.39839, 1996, Jan Average
5.91913, 1996, Feb Average
8.97667, 1996, Mar Average
12.086, 1996, Apr Average
14.4831, 1996, May Average
20.5954, 1996, Jun Average
22.8568, 1996, Jul Average
21.5356, 1996, Aug Average
17.4933, 1996, Sep Average
13.9445, 1996, Oct Average
9.53937, 1996, Nov Average
6.93843, 1996, Dec Average
5.86181, 1997, Jan Average
8.98203, 1997, Feb Average
11.9149, 1997, Mar Average
13.5777, 1997, Apr Average
15.4448, 1997, May Average
18.3324, 1997, Jun Average
21.5751, 1997, Jul Average
22.9021, 1997, Aug Average
20.4228, 1997, Sep Average
16.31, 1997, Oct Average
10.2395, 1997, Nov Average
7.14585, 1997, Dec Average
7.14933, 1998, Jan Average
8.64435, 1998, Feb Average
11.0509, 1998, Mar Average
10.6103, 1998, Apr Average
14.9261, 1998, May Average
19.792, 1998, Jun Average
23.0785, 1998, Jul Average
23.6987, 1998, Aug Average
19.3168, 1998, Sep Average
13.702, 1998, Oct Average
9.2829, 1998, Nov Average
5.51674, 1998, Dec Average
6.02585, 1999, Jan Average
6.45989, 1999, Feb Average
9.54112, 1999, Mar Average
12.1325, 1999, Apr Average
16.3194, 1999, May Average
19.7646, 1999, Jun Average
23.4609, 1999, Jul Average
22.9921, 1999, Aug Average
19.3051, 1999, Sep Average
14.4944, 1999, Oct Average
8.24683, 1999, Nov Average
6.3848, 1999, Dec Average
4.39651, 2000, Jan Average
9.04715, 2000, Feb Average
