Rainfall - (MM), Year, Statistics, Country, ISO3
121.612, 1991, Jan Average, United Kingdom, GBR
82.0339, 1991, Feb Average, United Kingdom, GBR
103.928, 1991, Mar Average, United Kingdom, GBR
92.7551, 1991, Apr Average, United Kingdom, GBR
23.9334, 1991, May Average, United Kingdom, GBR
108.885, 1991, Jun Average, United Kingdom, GBR
82.6003, 1991, Jul Average, United Kingdom, GBR
43.5466, 1991, Aug Average, United Kingdom, GBR
89.5484, 1991, Sep Average, United Kingdom, GBR
113.691, 1991, Oct Average, United Kingdom, GBR
144.37, 1991, Nov Average, United Kingdom, GBR
91.4932, 1991, Dec Average, United Kingdom, GBR
95.4993, 1992, Jan Average, United Kingdom, GBR
92.4897, 1992, Feb Average, United Kingdom, GBR
139.72, 1992, Mar Average, United Kingdom, GBR
91.8419, 1992, Apr Average, United Kingdom, GBR
62.5913, 1992, May Average, United Kingdom, GBR
44.8855, 1992, Jun Average, United Kingdom, GBR
88.4118, 1992, Jul Average, United Kingdom, GBR
167.52, 1992, Aug Average, United Kingdom, GBR
133.174, 1992, Sep Average, United Kingdom, GBR
106.759, 1992, Oct Average, United Kingdom, GBR
175.064, 1992, Nov Average, United Kingdom, GBR
112.087, 1992, Dec Average, United Kingdom, GBR
197.969, 1993, Jan Average, United Kingdom, GBR
31.0397, 1993, Feb Average, United Kingdom, GBR
59.5695, 1993, Mar Average, United Kingdom, GBR
109.252, 1993, Apr Average, United Kingdom, GBR
108.047, 1993, May Average, United Kingdom, GBR
76.9884, 1993, Jun Average, United Kingdom, GBR
92.2945, 1993, Jul Average, United Kingdom, GBR
65.5768, 1993, Aug Average, United Kingdom, GBR
106.027, 1993, Sep Average, United Kingdom, GBR
123.756, 1993, Oct Average, United Kingdom, GBR
84.1652, 1993, Nov Average, United Kingdom, GBR
204.607, 1993, Dec Average, United Kingdom, GBR
167.344, 1994, Jan Average, United Kingdom, GBR
104.436, 1994, Feb Average, United Kingdom, GBR
161.253, 1994, Mar Average, United Kingdom, GBR
99.3224, 1994, Apr Average, United Kingdom, GBR
51.3905, 1994, May Average, United Kingdom, GBR
62.3325, 1994, Jun Average, United Kingdom, GBR
60.0596, 1994, Jul Average, United Kingdom, GBR
87.9965, 1994, Aug Average, United Kingdom, GBR
110.616, 1994, Sep Average, United Kingdom, GBR
111.598, 1994, Oct Average, United Kingdom, GBR
123.144, 1994, Nov Average, United Kingdom, GBR
190.123, 1994, Dec Average, United Kingdom, GBR
197.713, 1995, Jan Average, United Kingdom, GBR
152.628, 1995, Feb Average, United Kingdom, GBR
100.341, 1995, Mar Average, United Kingdom, GBR
41.0565, 1995, Apr Average, United Kingdom, GBR
64.5146, 1995, May Average, United Kingdom, GBR
30.4823, 1995, Jun Average, United Kingdom, GBR
60.176, 1995, Jul Average, United Kingdom, GBR
18.4818, 1995, Aug Average, United Kingdom, GBR
154.61, 1995, Sep Average, United Kingdom, GBR
134.042, 1995, Oct Average, United Kingdom, GBR
112.585, 1995, Nov Average, United Kingdom, GBR
96.2749, 1995, Dec Average, United Kingdom, GBR
79.0127, 1996, Jan Average, United Kingdom, GBR
108.96, 1996, Feb Average, United Kingdom, GBR
58.4069, 1996, Mar Average, United Kingdom, GBR
79.5208, 1996, Apr Average, United Kingdom, GBR
66.4544, 1996, May Average, United Kingdom, GBR
39.5668, 1996, Jun Average, United Kingdom, GBR
59.8023, 1996, Jul Average, United Kingdom, GBR
84.8327, 1996, Aug Average, United Kingdom, GBR
43.0971, 1996, Sep Average, United Kingdom, GBR
151.264, 1996, Oct Average, United Kingdom, GBR
161.498, 1996, Nov Average, United Kingdom, GBR
91.115, 1996, Dec Average, United Kingdom, GBR
28.8494, 1997, Jan Average, United Kingdom, GBR
169.601, 1997, Feb Average, United Kingdom, GBR
65.2521, 1997, Mar Average, United Kingdom, GBR
40.566, 1997, Apr Average, United Kingdom, GBR
101.053, 1997, May Average, United Kingdom, GBR
135.579, 1997, Jun Average, United Kingdom, GBR
69.4958, 1997, Jul Average, United Kingdom, GBR
87.0101, 1997, Aug Average, United Kingdom, GBR
59.0638, 1997, Sep Average, United Kingdom, GBR
80.1708, 1997, Oct Average, United Kingdom, GBR
144.61, 1997, Nov Average, United Kingdom, GBR
154.409, 1997, Dec Average, United Kingdom, GBR
157.336, 1998, Jan Average, United Kingdom, GBR
65.133, 1998, Feb Average, United Kingdom, GBR
117.448, 1998, Mar Average, United Kingdom, GBR
129.178, 1998, Apr Average, United Kingdom, GBR
46.6981, 1998, May Average, United Kingdom, GBR
126.808, 1998, Jun Average, United Kingdom, GBR
100.922, 1998, Jul Average, United Kingdom, GBR
76.3339, 1998, Aug Average, United Kingdom, GBR
101.671, 1998, Sep Average, United Kingdom, GBR
208.906, 1998, Oct Average, United Kingdom, GBR
132.56, 1998, Nov Average, United Kingdom, GBR
123.116, 1998, Dec Average, United Kingdom, GBR
175.884, 1999, Jan Average, United Kingdom, GBR
83.3257, 1999, Feb Average, United Kingdom, GBR
91.0767, 1999, Mar Average, United Kingdom, GBR
89.9923, 1999, Apr Average, United Kingdom, GBR
78.9934, 1999, May Average, United Kingdom, GBR
103.551, 1999, Jun Average, United Kingdom, GBR
44.9729, 1999, Jul Average, United Kingdom, GBR
97.0273, 1999, Aug Average, United Kingdom, GBR
161.821, 1999, Sep Average, United Kingdom, GBR
96.3155, 1999, Oct Average, United Kingdom, GBR
114.086, 1999, Nov Average, United Kingdom, GBR
201.943, 1999, Dec Average, United Kingdom, GBR
83.266, 2000, Jan Average, United Kingdom, GBR
124.653, 2000, Feb Average, United Kingdom, GBR
63.483, 2000, Mar Average, United Kingdom, GBR
123.292, 2000, Apr Average, United Kingdom, GBR
88.2452, 2000, May Average, United Kingdom, GBR
59.4329, 2000, Jun Average, United Kingdom, GBR
56.8583, 2000, Jul Average, United Kingdom, GBR
91.9724, 2000, Aug Average, United Kingdom, GBR
