Temperature - (Celsius), Year, Statistics, Country, ISO3
2.53684, 1991, Jan Average, United Kingdom, GBR
1.43058, 1991, Feb Average, United Kingdom, GBR
6.50323, 1991, Mar Average, United Kingdom, GBR
6.98953, 1991, Apr Average, United Kingdom, GBR
10.041, 1991, May Average, United Kingdom, GBR
11.0897, 1991, Jun Average, United Kingdom, GBR
15.8531, 1991, Jul Average, United Kingdom, GBR
15.5965, 1991, Aug Average, United Kingdom, GBR
13.1426, 1991, Sep Average, United Kingdom, GBR
9.03516, 1991, Oct Average, United Kingdom, GBR
5.71614, 1991, Nov Average, United Kingdom, GBR
4.24832, 1991, Dec Average, United Kingdom, GBR
3.31697, 1992, Jan Average, United Kingdom, GBR
4.64705, 1992, Feb Average, United Kingdom, GBR
6.10277, 1992, Mar Average, United Kingdom, GBR
7.38862, 1992, Apr Average, United Kingdom, GBR
11.9028, 1992, May Average, United Kingdom, GBR
14.3243, 1992, Jun Average, United Kingdom, GBR
14.7375, 1992, Jul Average, United Kingdom, GBR
13.9319, 1992, Aug Average, United Kingdom, GBR
11.8819, 1992, Sep Average, United Kingdom, GBR
6.79537, 1992, Oct Average, United Kingdom, GBR
6.11939, 1992, Nov Average, United Kingdom, GBR
3.04968, 1992, Dec Average, United Kingdom, GBR
4.59096, 1993, Jan Average, United Kingdom, GBR
4.50942, 1993, Feb Average, United Kingdom, GBR
5.44812, 1993, Mar Average, United Kingdom, GBR
8.14427, 1993, Apr Average, United Kingdom, GBR
10.0974, 1993, May Average, United Kingdom, GBR
13.2366, 1993, Jun Average, United Kingdom, GBR
13.7655, 1993, Jul Average, United Kingdom, GBR
13.2233, 1993, Aug Average, United Kingdom, GBR
11.2819, 1993, Sep Average, United Kingdom, GBR
7.32975, 1993, Oct Average, United Kingdom, GBR
4.17431, 1993, Nov Average, United Kingdom, GBR
3.84298, 1993, Dec Average, United Kingdom, GBR
3.95157, 1994, Jan Average, United Kingdom, GBR
2.55968, 1994, Feb Average, United Kingdom, GBR
5.92715, 1994, Mar Average, United Kingdom, GBR
6.80198, 1994, Apr Average, United Kingdom, GBR
9.41068, 1994, May Average, United Kingdom, GBR
12.8233, 1994, Jun Average, United Kingdom, GBR
15.7999, 1994, Jul Average, United Kingdom, GBR
14.3583, 1994, Aug Average, United Kingdom, GBR
11.5927, 1994, Sep Average, United Kingdom, GBR
9.08892, 1994, Oct Average, United Kingdom, GBR
8.87985, 1994, Nov Average, United Kingdom, GBR
5.31256, 1994, Dec Average, United Kingdom, GBR
3.65957, 1995, Jan Average, United Kingdom, GBR
5.05106, 1995, Feb Average, United Kingdom, GBR
4.29277, 1995, Mar Average, United Kingdom, GBR
7.60133, 1995, Apr Average, United Kingdom, GBR
10.2628, 1995, May Average, United Kingdom, GBR
13.1056, 1995, Jun Average, United Kingdom, GBR
16.5144, 1995, Jul Average, United Kingdom, GBR
17.1651, 1995, Aug Average, United Kingdom, GBR
12.4672, 1995, Sep Average, United Kingdom, GBR
11.686, 1995, Oct Average, United Kingdom, GBR
7.00259, 1995, Nov Average, United Kingdom, GBR
1.94026, 1995, Dec Average, United Kingdom, GBR
4.06257, 1996, Jan Average, United Kingdom, GBR
2.23349, 1996, Feb Average, United Kingdom, GBR
3.80936, 1996, Mar Average, United Kingdom, GBR
7.42783, 1996, Apr Average, United Kingdom, GBR
8.15355, 1996, May Average, United Kingdom, GBR
12.9801, 1996, Jun Average, United Kingdom, GBR
14.7228, 1996, Jul Average, United Kingdom, GBR
15.0792, 1996, Aug Average, United Kingdom, GBR
